SKU Mappings:
SKU_0: 0
SKU_1: 2
SKU_2: 4
SKU_3: 6
SKU_4: 8
SKU_5: 10
SKU_6: 12
SKU_7: 14
SKU_8: 16
SKU_9: 18
SKU_10: 20
SKU_11: 22
SKU_12: 24
SKU_13: 26
SKU_14: 28
SKU_15: 30
SKU_16: 32
SKU_17: 34
SKU_18: 36
SKU_19: 38
SKU_20: 40
SKU_21: 42
SKU_22: 44
SKU_23: 46
SKU_24: 48
SKU_25: 50
SKU_26: 52
SKU_27: 54
SKU_28: 56
SKU_29: 58
SKU_30: 60
SKU_31: 62
SKU_32: 64
SKU_33: 66
SKU_34: 68
SKU_35: 70
SKU_36: 72
SKU_37: 74
SKU_38: 76
SKU_39: 78
SKU_40: 80
SKU_41: 82
SKU_42: 84
SKU_43: 86
SKU_44: 88
SKU_45: 90
SKU_46: 92
SKU_47: 94
SKU_48: 96
SKU_49: 98
SKU_50: 100
SKU_51: 102
SKU_52: 104
SKU_53: 106
SKU_54: 108
SKU_55: 110
SKU_56: 112
SKU_57: 114
SKU_58: 116
SKU_59: 118
SKU_60: 120
SKU_61: 122
SKU_62: 124
SKU_63: 126
SKU_64: 128
SKU_65: 130
SKU_66: 132
SKU_67: 134
SKU_68: 136
SKU_69: 138
SKU_70: 140
SKU_71: 142
SKU_72: 144
SKU_73: 146
SKU_74: 148
SKU_75: 150
SKU_76: 152
SKU_77: 154
SKU_78: 156
SKU_79: 158
SKU_80: 160
SKU_81: 162
SKU_82: 164
SKU_83: 166
SKU_84: 168
SKU_85: 170
SKU_86: 172
SKU_87: 174
SKU_88: 176
SKU_89: 178
SKU_90: 180
SKU_91: 182
SKU_92: 184
SKU_93: 186
SKU_94: 188
SKU_95: 190
SKU_96: 192
SKU_97: 194
SKU_98: 196
SKU_99: 198
SKU_100: 200
SKU_101: 202
SKU_102: 204
SKU_103: 206
SKU_104: 208
SKU_105: 210
SKU_106: 212
SKU_107: 214
SKU_108: 216
SKU_109: 218
SKU_110: 220
SKU_111: 222
SKU_112: 224
SKU_113: 226
SKU_114: 228
SKU_115: 230
SKU_116: 232
SKU_117: 234
SKU_118: 236
SKU_119: 238
SKU_120: 240
SKU_121: 242
SKU_122: 244
SKU_123: 246
SKU_124: 248
SKU_125: 250
SKU_126: 252
SKU_127: 254
SKU_128: 256
SKU_129: 258
SKU_130: 260
SKU_131: 262
SKU_132: 264
SKU_133: 266
SKU_134: 268
SKU_135: 270
SKU_136: 272
SKU_137: 274
SKU_138: 276
SKU_139: 278
SKU_140: 280
SKU_141: 282
SKU_142: 284
SKU_143: 286
SKU_144: 288
SKU_145: 290
SKU_146: 292
SKU_147: 294
SKU_148: 296
SKU_149: 298
SKU_150: 300
SKU_151: 302
SKU_152: 304
SKU_153: 306
SKU_154: 308
SKU_155: 310
SKU_156: 312
SKU_157: 314
SKU_158: 316
SKU_159: 318
SKU_160: 320
SKU_161: 322
SKU_162: 324
SKU_163: 326
SKU_164: 328
